Nombre,Promedio de Resenas,Promedio de Precios,windows,mac,linux
singleplayer,194606,30.1,73411,14099,10096
3d,78094,32.36,27522,3074,2303
action,468619,21.45,72019,11667,9258
adventure,193614,26.05,62861,14695,9831
strategy,307170,26.23,37145,11492,6077
casual,112521,20.72,60568,14435,8835
building,145573,23.71,7506,1439,1062
sports,24819,32.67,7798,1229,900
2d,107905,17.26,39485,9867,7061
sandbox,221430,26.29,8705,1645,1258
arcade,36033,29.98,16497,2966,2452
fantasy,138072,25.53,21854,5940,3003
horror,134557,28.25,13102,2194,1718
colorful,42654,25.29,22929,4614,3252
simulation,164540,26.61,38122,10220,5326
indie,207447,20.61,87756,23908,15780
racing,123793,27.07,6926,1143,897
puzzle,44669,23.16,23431,5750,3828
card game,14590,14.08,3444,871,438
vr,51247,27.05,7734,252,210
