Nombre,Promedio de Resenas,Promedio de Precios,windows,mac,linux
indie,199447,21.1,87794,23913,15773
action,457348,21.94,71291,11797,9302
adventure,189230,28.49,62896,14697,9822
casual,111899,21.62,60609,14433,8837
rpg,186121,31.27,36443,10664,5590
simulation,167141,26.11,38149,10225,5328
strategy,307354,25.38,37168,11498,6079
singleplayer,191606,31.21,73489,14101,10098
early access,136755,26.39,11239,1630,1172
2d,108696,17.5,39507,9923,7065
3d,77465,30.46,27567,3047,2307
atmospheric,197479,29.32,26990,5498,3945
fantasy,138884,25.93,21872,5938,3004
story rich,103821,38.48,22903,5874,3940
colorful,48429,25.09,22717,4616,3255
multiplayer,456603,21.23,17261,3603,2398
puzzle,44346,23.94,23464,5751,3832
exploration,143360,29.85,21776,3781,2709
pixel graphics,64471,18.49,22549,4436,3544
cute,58927,18.98,19075,4224,2838
sports,25666,31.58,7803,1229,900
first-person,408074,22.62,18345,2062,1641
violent,77839,36.25,9695,1251,1086
combat,59882,31.59,12797,1420,1177
action-adventure,39993,37.13,15607,1916,1484
racing,93984,27.25,6928,1143,897
anime,45819,28.11,11910,2456,1883
arcade,36287,28.98,16521,2967,2471
funny,198598,19.79,15335,3605,2536
sexual content,44176,34.61,4964,864,676
nudity,69411,29.12,4985,761,608
sci-fi,139184,28.33,14605,3060,2366
shooter,385740,24.12,14563,1680,1557
relaxing,42869,23.05,14231,2880,1911
horror,134971,27.28,13117,2195,1719
family friendly,76262,23.82,14413,3175,2148
retro,24577,18.57,13665,3069,2522
gore,98681,35.5,8165,1077,905
third person,153195,29.12,12023,1315,1009
stylized,10796,22.62,12188,2247,1580
female protagonist,50586,30.37,11781,2942,2075
open world,201195,27.77,11171,1699,1331
co-op,307354,25.38,37168,11498,6079
survival,193867,23.98,10477,1593,1271
platformer,73883,19.99,13379,2647,2099
top-down,22611,20.74,11628,2241,1838
choices matter,60360,29.62,9912,2909,2112
realistic,274785,26.54,10174,1179,690
pve,95686,25.13,8083,956,758
comedy,157278,23.0,9355,2342,1747
dark,74060,27.0,9111,1544,1176
visual novel,11573,21.91,8739,2929,2229
character customization,168570,29.94,7767,1387,1101
cartoony,64904,19.33,9589,1921,1336
linear,10082,23.11,8627,1362,1093
mystery,27800,23.75,9453,2318,1452
multiple endings,42742,29.94,8606,2314,1675
2d platformer,18504,19.31,9801,1776,1320
fps,377291,23.07,8419,748,747
old school,11946,17.05,8813,1255,1079
psychological horror,56211,23.52,7748,1366,1039
magic,34392,28.78,7116,1258,958
sandbox,211366,26.52,8719,1630,1251
vr,51261,27.15,7738,252,210
tactical,290766,26.53,7136,1386,989
medieval,44759,23.25,7582,2381,905
action rpg,162025,32.34,7464,1010,782
great soundtrack,183957,36.52,7063,2789,2060
futuristic,48907,35.41,6124,965,790
minimalist,7984,12.29,8069,1756,1458
space,79192,29.87,7284,1675,1233
hand-drawn,23646,17.44,7380,2076,1353
point & click,20104,16.11,7761,2532,1468
crafting,161670,22.33,6074,974,758
roguelike,43514,17.23,7515,1576,1286
management,53393,28.74,7406,1621,1066
drama,10174,26.41,5370,1203,811
cartoon,32041,21.55,5510,1193,730
shoot 'em up,5334,15.08,7255,874,727
dark fantasy,79937,30.03,5497,933,702
design & illustration,22280,29.78,4240,1875,990
resource management,31390,23.5,5397,1012,717
side scroller,25234,16.73,7102,1300,1054
3d platformer,26125,24.99,5826,705,597
logic,3160,18.05,6110,1324,1008
survival horror,100101,26.02,5021,511,464
choose your own adventure,16582,29.38,5336,1842,1378
mature,196674,27.75,1919,327,246
romance,22100,24.09,3747,1311,1009
emotional,16997,28.49,4935,1218,783
puzzle platformer,36286,16.75,6344,1293,928
turn-based combat,21532,31.71,5650,1147,774
immersive sim,44900,30.47,5733,788,467
