Titulo,Fecha de lanzamiento,Precio,Plataformas,Total de Reviews
Baldur's Gate 3,"3 Aug, 2023",$34.99,win-mac,480295
Counter-Strike 2,"21 Aug, 2012",Free,win-linux,834568
Lethal Company,"23 Oct, 2023",$5.79,win,228388
Apex Legends™,"4 Nov, 2020",Free,win,780612
PUBG: BATTLEGROUNDS,"21 Dec, 2017",Free,win,284610
Warframe,"25 Mar, 2013",Free,win,557494
Call of Duty®,"27 Oct, 2022","",win,512237
Ready or Not,"13 Dec, 2023",$32.99,win,120545
Tom Clancy's Rainbow Six® Siege,"1 Dec, 2015",$15.99,win,031441
Grand Theft Auto V,"13 Apr, 2015",$22.48,win,567659
THE FINALS,"7 Dec, 2023",Free,win,114456
War Thunder,"15 Aug, 2013",Free,win-mac-linux,445638
EA SPORTS FC™ 24,"28 Sep, 2023",$69.99,win,32542
Dota 2,"9 Jul, 2013",Free,win-mac-linux,153408
Cyberpunk 2077,"9 Dec, 2020",$44.99,win,622510
Rust,"8 Feb, 2018",$18.99,win-mac,834490
Monster Hunter: World,"9 Aug, 2018",$22.49,win,248287
Destiny 2,"1 Oct, 2019",Free,win,580292
Lost Ark,"11 Feb, 2022",Free,win,197626
ELDEN RING,"24 Feb, 2022",$47.99,win,565560
Anno 1800,Apr 2019,$11.99,win,12909
Path of Exile,"23 Oct, 2013",Free,win-mac,215147
Dead by Daylight,"14 Jun, 2016",$10.49,win,508873
NARAKA: BLADEPOINT,"11 Aug, 2021",Free,win,194529
Cyberpunk 2077: Phantom Liberty,"25 Sep, 2023",$22.49,win,12567
The Sims™ 4,"18 Jun, 2020",Free,win,124272
The Elder Scrolls® Online,"22 May, 2017",$11.99,win-mac,117156
Red Dead Redemption 2,"5 Dec, 2019",$59.99,win,479107
Call of Duty®: Modern Warfare® II - BlackCell (Season 05),"2 Aug, 2023","",win,137
FINAL FANTASY XIV Online,"18 Feb, 2014",$15.99,win,65010
Yu-Gi-Oh! Master Duel,"18 Jan, 2022",Free,win,68286
Sea of Thieves 2023 Edition,"3 Jun, 2020",$39.99,win,268271
Black Desert,"15 Nov, 2017",$3.59,win,52457
Sons Of The Forest,"23 Feb, 2023",$14.99,win,155024
Euro Truck Simulator 2,"12 Oct, 2012",$10.09,win-mac-linux,537495
New World,"28 Sep, 2021",$39.99,win,232706
ARK: Survival Ascended,"25 Oct, 2023",$20.99,win,38129
Team Fortress 2,"10 Oct, 2007",Free,win-mac-linux,022168
Forza Horizon 5,"8 Nov, 2021",$32.78,win,145079
Phasmophobia,"18 Sep, 2020",$7.79,win,526774
Stardew Valley,"26 Feb, 2016",$4.99,win-mac-linux,542890
Roboquest,"7 Nov, 2023",$9.74,win,9481
Project Zomboid,"8 Nov, 2013",$10.49,win-mac-linux,203824
Hogwarts Legacy,"10 Feb, 2023",$30.00,win,179891
SMITE®,"8 Sep, 2015",Free,win,114500
Call to Arms - Gates of Hell: Ostfront,"11 Jun, 2021",$4.49,win,12985
House Flipper 2,"14 Dec, 2023",$15.99,win,4338
BeamNG.drive,"29 May, 2015",$12.49,win,204652
Football Manager 2024,"6 Nov, 2023",$39.99,win-mac,4537
"Warhammer 40,000: Rogue Trader","7 Dec, 2023",$24.99,win-mac,8233
Steam Deck,"","",win-mac-linux,N/A
Party Animals,"20 Sep, 2023",$13.49,win,29935
Hell Let Loose,"27 Jul, 2021",$20.99,win,72997
Wallpaper Engine,Nov 2018,$2.79,win,679817
Monster Hunter World: Iceborne,"9 Jan, 2020",$29.99,win,15878
Cities: Skylines,"10 Mar, 2015",$5.39,win-mac-linux,185614
Cities: Skylines II,"24 Oct, 2023",$29.99,win,31828
Microsoft Flight Simulator 40th Anniversary Edition,"17 Aug, 2020",$59.99,win,51867
"Warhammer 40,000: Darktide","30 Nov, 2022",$24.99,win,74790
Stellaris,"9 May, 2016",$23.99,win-mac-linux,112148
Jurassic World Evolution 2,"9 Nov, 2021",$8.09,win,20011
Tom Clancy's Ghost Recon® Breakpoint,"23 Jan, 2023",$47.99,win,13588
Raft,"20 Jun, 2022",$19.99,win,253517
Hunt: Showdown,"27 Aug, 2019",$18.99,win,149422
Detroit: Become Human,"18 Jun, 2020",$7.99,win,88470
Farming Simulator 22,"21 Nov, 2021",$9.99,win-mac,45426
Far Cry® 5,"26 Mar, 2018",$7.19,win,135898
RimWorld,"17 Oct, 2018",$17.99,win-mac-linux,149078
The Elder Scrolls V: Skyrim Special Edition,"27 Oct, 2016",$23.99,win,151375
theHunter: Call of the Wild™,"16 Feb, 2017",$10.49,win,124930
DayZ,"13 Dec, 2018",$44.99,win,311985
The Binding of Isaac: Rebirth,"4 Nov, 2014",$14.99,win-mac-linux,245373
Diablo® IV,"17 Oct, 2023",$69.99,win,11391
Valheim,"2 Feb, 2021",$19.99,win-linux,372701
Madden NFL 24,"17 Aug, 2023",$69.99,win,4229
Age of Empires IV: Anniversary Edition,"28 Oct, 2021",$39.99,win,47213
Hearts of Iron IV,"6 Jun, 2016",$23.99,win-mac-linux,192499
Remnant II,"25 Jul, 2023",$49.99,win,32356
Sid Meier’s Civilization® VI,"20 Oct, 2016",$47.01,win-mac-linux,213936
World of Warships,"15 Nov, 2017",Free,win,134955
Medieval Dynasty,"23 Sep, 2021",$17.99,win,30065
DAVE THE DIVER,"28 Jun, 2023",$12.99,win-mac,82780
Call of Duty®: Warzone™,"16 Nov, 2022",Free,win,29077
Street Fighter™ 6,"1 Jun, 2023",$44.99,win,20907
Lies of P,"18 Sep, 2023",$35.99,win-mac,21200
Fallout 76,"14 Apr, 2020",$23.99,win,49819
Call of Duty®: Black Ops III,"5 Nov, 2015",$59.99,win-mac,116956
Terraria,"16 May, 2011",$5.79,win-mac-linux,988179
HITMAN 3,"20 Jan, 2022",$14.99,win,17768
Borderlands 3,"13 Mar, 2020",$8.99,win,99019
Last Epoch,"30 Apr, 2019",$17.99,win-linux,22948
Risk of Rain 2,"11 Aug, 2020",$12.49,win,175524
MONSTER HUNTER RISE,"12 Jan, 2022",$29.99,win,54382
Tiny Tina's Wonderlands,"23 Jun, 2022",$14.99,win,11235
Resident Evil 4,"23 Mar, 2023",$44.99,win,77435
Sunkenland,"25 Aug, 2023",$19.99,win,13350
Crusader Kings III,"1 Sep, 2020",$29.99,win-mac-linux,66039
Total War: WARHAMMER III,"16 Feb, 2022",$49.99,win-mac-linux,66808
Mafia: Definitive Edition,"24 Sep, 2020",$9.99,win,52510
Granblue Fantasy Versus: Rising,"13 Dec, 2023",$49.99,win,2121
